,Country,Life expectancy,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles,BMI,under-five deaths,Polio,Total expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness  1-19 years,thinness 5-9 years,Income composition of resources,Schooling,Poisoning,Status
86,Kazakhstan,66.7625,232.0625,7.125,6.64133333333333,203.03090856,97.3125,1246.9375,45.15625,8.0625,97.5,4.01933333333333,96.4375,0.1,4040.586664375,8340547.4375,2.4375,2.54375,0.7450625,14.025,0.4,Developing
87,Kenya,57.48125,348.5625,65.875,1.602,61.6554643435,74.5714285714286,2643.875,15.5625,98.625,70.1875,4.66866666666667,70.5,8.7625,716.77006788125,16826787.625,8.4,8.2875,0.497125,9.96875,2.45,Developing
88,Kiribati,65.15,129.4375,0,0.440666666666667,77.126103345,75.1875,0,69.43125,0,75.25,5.728,74.9375,0.1,1175.29241553125,35919.9375,0.15625,0.1375,0.36375,11.69375,2.43,Developing
89,Kuwait,73.84375,83.25,0.5,0.021333333333333,1719.84098058125,98.1875,15.375,59.60625,1,98.1875,2.80933333333333,98.5,0.1,31914.378339375,,3.28125,3.15625,0.7895,13.725,2.67,Developing
90,Kyrgyzstan,69.08125,173.6875,3.75,2.26733333333333,0,85.5625,1156.625,35.1125,4.125,95.875,6.11866666666667,96.5625,0.1125,,,3.35625,3.4125,0.6220625,12.3375,0.35,Developing
91,Lao People's Democratic Republic,62.38125,197.1875,10.625,3.50533333333333,0,60.3076923076923,552.75,14.3625,14.75,58.8125,3.444,61.5,0.2,,,6.275,6.38125,0.515625,9.23125,1.24,Developing
92,Latvia,73.73125,161.8125,0,8.864,530.60519180375,88.9375,3.3125,51.30625,0,95.0625,6.33133333333333,95,0.1,7951.824896625,1174562.6875,2.40625,2.43125,0.7925,15.56875,0.64,Developed
93,Lebanon,74.2,65.3125,1,1.78533333333333,333.047945132063,70.5,295.1875,55.3375,1,71.25,6.67066666666667,70.5,0.1,4696.1923789375,2489104.5,4.76875,4.71875,0.4696875,13.74375,0.84,Developing
94,Lesotho,48.78125,550.0625,4.5,2.08666666666667,82.1189129000625,73.2307692307692,266.6875,25.2375,6.3125,67.9375,7.60733333333333,79.4375,22.96875,794.5230103125,1200527.5625,7.1875,7.06875,0.4568125,10.65625,0.54,Developing
95,Liberia,57.525,246.9375,10.6875,3.258,25.27170667675,49.125,705.3125,19.9875,14.75,59.4375,6.844,40.6875,2.28125,246.28174803125,2788942.625,7.8375,7.7625,0.3894375,9.86875,5.97,Developing
96,Libya,72.4875,139.6875,2.1875,0.01,180.0749890925,96.3125,547.3125,54.8375,2.5,96.5,3.728,96.5,0.1,4598.16197541667,,5.6,5.43125,0.7408125,14.79375,1.76,Developing
97,Lithuania,72.80625,117.25,0,12.6326666666667,1015.75384256375,94.75,14.9375,49.23125,0,88.8125,6.54733333333333,94.25,0.1,9007.4586225,1926212.125,2.9375,2.96875,0.8066875,16.1,0.95,Developed
98,Luxembourg,80.78125,67.5625,0,11.922,8177.5763413625,92.375,1.125,47.825,0,98.0625,7.54733333333333,98.9375,0.1,53257.012740625,265276.375,0.95,0.9125,0.878125,13.6375,3.9,Developed
99,Madagascar,62.74375,228.8125,34.9375,0.82,43.25315657175,63.3571428571429,9576.1875,14.76875,51.125,59.9375,4.71066666666667,61.25,0.525,314.04132958125,10950267.4375,7.86875,7.78125,0.4566875,9.33125,0.35,Developing
100,Malawi,49.89375,424.4375,37.125,0.919333333333333,25.8497064568125,89.5714285714286,7559.4375,16.78125,58.75,89.0625,6.65866666666667,83.625,16.68125,237.50404201875,6700263.0625,7.11875,6.9875,0.410625,10.23125,2.78,Developing
101,Malaysia,73.75625,118.5625,3.3125,0.490666666666667,248.88502812,96,1453.125,29.16875,4.125,96.375,3.74866666666667,96.4375,0.1,4904.9389918125,11529155.8125,8.6125,8.40625,0.749125,12.5625,2.14,Developing
102,Maldives,75.5375,83.1875,0,1.40733333333333,626.4998210525,97.875,157.875,19.29375,0,97.875,8.23666666666667,97.875,0.1,3818.2969615625,3334.25,14.19375,14.2875,0.638625,12,0.6,Developing
103,Mali,54.9375,202.125,55.9375,0.438,48.981176981125,67.1538461538462,823.3125,17.2125,96.5,62.5,6.52266666666667,67,1.825,530.5121701,5781492.875,7.075,6.35,0.3651875,6.43125,0.051,Developing
104,Malta,80.3625,60.75,0,7.13,1181.43178558125,80.5384615384615,2.1875,66.18125,0,89.4375,8.59666666666667,89.3125,0.1,10114.797943125,224742.4375,0.75,0.7125,0.8111875,14.30625,3.19,Developed
106,Mauritania,62.8,159.9375,7.8125,0.013333333333333,31.7031471238125,57.6363636363636,815.9375,22.475,11.9375,63.0625,3.93533333333333,60.125,1.1875,635.04960900625,1262286.1875,6.48125,6.81875,0.4730625,7.31875,0,Developing
107,Mauritius,72.7125,163.5625,0,2.90666666666667,422.239524298938,96.1875,54.3125,25.98125,0,96.5,4.52466666666667,96.3125,0.10625,5299.579823625,663332.875,7.46875,7.4125,0.722625,13.53125,1.55,Developing
108,Mexico,75.71875,111.0625,39.625,5.114,465.3274957875,94.4375,11,51.41875,46.5,95.0625,6.074,95,0.1,5179.33080675,27585265.1875,1.73125,1.66875,0.728875,12.325,0.98,Developing
109,Micronesia (Federated States of),68.2,154.0625,0,2.14533333333333,0,75.4375,8.75,65.15,0,82.375,11.056,81.875,0.1,,,0.2125,0.20625,0.5868125,10.4,0.54,Developing
111,Mongolia,65.8875,222.125,1.5625,2.354,126.378363989375,97.4375,2079.25,39.79375,1.9375,97.5625,5.18066666666667,97.375,0.1,1984.6880227125,2037470.6875,2.28125,2.3875,0.6620625,12.66875,0.9,Developing
112,Montenegro,74.5,92.75,0,2.58428571428571,455.049824020625,48.5,0.625,50.4875,0,84.3,7.41933333333334,84.5,0.1,4676.5142775,329668.1875,2.1375,2.1875,0.58375,10.71875,2.85,Developing
113,Morocco,72.15625,95.1875,21.375,0.518666666666667,102.98965830775,87.25,2593,48.61875,24.875,96.9375,5.44266666666667,97.1875,0.1,1936.391438375,20591653.9375,6.45625,6.3125,0.5855,10.2875,0.62,Developing
114,Mozambique,53.39375,226.25,74.5625,1.266,37.0341515221875,67.8666666666667,4735,16.14375,107.25,69,5.97266666666667,64.0625,11.3875,365.06823808125,11729745.9375,3.80625,3.71875,0.3608125,7.9875,0.81,Developing
115,Myanmar,64.2,154.3125,56.625,0.351333333333333,12.82456363525,65.4615384615385,914.5,17.125,76.9375,70.6875,2.01266666666667,72.375,0.475,616.18435734375,26015702,13.13125,13.425,0.48825,8.325,3.92,Developing
116,Namibia,60.4,313.1875,2.875,4.71066666666667,359.930079416937,86.3333333333333,722.0625,28.225,3.8125,78.5,7.39866666666667,83.5,13.64375,3042.603507,1025527.125,10.7,10.70625,0.5883125,11.55,1.74,Developing
118,Nepal,66.48125,147.25,29.125,0.19,40.1620642759375,65.3846153846154,4663.5625,15.175,38.125,69.125,5.88933333333333,73.6875,0.15625,395.32846794375,14633755.5625,17.13125,17.66875,0.494375,10.43125,2.1,Developing
119,Netherlands,81.13125,61.625,1,8.84666666666667,3805.68704771875,48.2,251.9375,53.96875,1,96.8125,7.14133333333333,96.8125,0.1,34964.719796875,9775704.375,1.025,0.9625,0.89975,17.05625,1.57,Developed
120,New Zealand,81.3375,71.5,0,9.16625,2922.14777979187,70.1875,94.9375,56.625,0,89.125,8.876,70.625,0.1,14775.554806875,,0.3125,0.3,0.8911875,18.86875,0.11,Developed
